ProductKey,CustomerKey,OrderDateKey,ShipDateKey,SalesOrderNumber,AddressLine1,AddressLine2,City,StateProvinceName,EnglishCountryRegionName,CustomerKey,lat,lon,shipDate,firstUse,lastTimeUsed,finalUse,avgSpeed,consistency,distanceParameter,freqParameter
222,11997,20070826,20070902,SO53133,6828 Willow Pass Road,,Coffs Harbour,New South Wales,Australia,11997,-30.30574511,153.1013671,00:00.0,51:02.2,26:09.0,42:18.5,16.90938124,9.751689801,13.88638514,8.963786976
222,12677,20080324,20080331,SO66827,8228 Seal Way,,Coffs Harbour,New South Wales,Australia,12677,-30.30039501,153.1191675,00:00.0,41:01.1,42:19.0,42:19.0,15.75540959,3.933294287,10.90616768,6.122718286
222,13620,20080516,20080523,SO70750,9167 Jam Way,,Coffs Harbour,New South Wales,Australia,13620,-30.30659684,153.1107446,00:00.0,25:50.3,47:46.0,49:55.8,19.57698176,1.884750852,4.971158065,6.001041823
222,14316,20071208,20071215,SO59629,2786 Class Avenue,,Coffs Harbour,New South Wales,Australia,14316,-30.29747494,153.1125109,00:00.0,49:55.8,29:31.0,12:02.3,19.49371042,1.217094234,12.49945742,10.06153261
222,15730,20080430,20080507,SO69315,2743 Veale Ave,,Coffs Harbour,New South Wales,Australia,15730,-30.30370026,153.1044757,00:00.0,10:14.6,32:31.0,01:00.1,20.1233968,5.59210717,2.164188785,3.064531489
222,16743,20070930,20071007,SO55225,3726 Northridge Drive,,Coffs Harbour,New South Wales,Australia,16743,-30.3006986,153.1216057,00:00.0,51:53.9,32:58.0,05:32.4,19.22581306,10.69246393,14.35230836,9.297051392
222,18206,20071024,20071031,SO56603,1480 Oliveria Road,,Coffs Harbour,New South Wales,Australia,18206,-30.30254176,153.1117028,00:00.0,41:57.8,55:53.0,59:51.3,16.38246314,3.456084239,1.558079053,2.776536709
222,20429,20080229,20080307,SO65138,3965 Stony Hill Circle,,Coffs Harbour,New South Wales,Australia,20429,-30.30804249,153.104087,00:00.0,54:25.3,22:08.0,02:42.7,19.36849747,6.819292333,14.96725266,2.549277422
222,22004,20080501,20080508,SO69629,3030 Blackburn Ct.,,Coffs Harbour,New South Wales,Australia,22004,-30.29685953,153.1182947,00:00.0,13:46.6,22:39.0,39:19.1,22.70861861,1.321892187,5.536785723,10.25870585
222,23419,20080501,20080508,SO69571,238 Montego,,Coffs Harbour,New South Wales,Australia,23419,-30.29611629,153.1089205,00:00.0,50:29.5,38:14.0,03:17.5,18.27912289,8.061833102,16.4187239,10.20009124
222,26653,20080603,20080610,SO72104,377 Trees Drive,,Coffs Harbour,New South Wales,Australia,26653,-30.2850097,153.0989855,00:00.0,27:16.1,55:10.0,21:00.3,16.48350896,9.375458535,1.640152997,2.21114441
222,27874,20070912,20070919,SO54187,P .o. Box 2162,,Coffs Harbour,New South Wales,Australia,27874,-30.298612,153.1093922,00:00.0,56:22.4,57:53.0,17:05.1,14.52638163,6.984103232,2.482067086,3.519501306
222,27701,20080622,20080629,SO73566,3613 Eastgate Lane,,Darlinghurst,New South Wales,Australia,27701,-33.87133127,151.2233389,00:00.0,57:17.6,39:07.0,54:48.1,18.41402781,10.47390664,8.451459233,4.578193198
222,18264,20080324,20080331,SO66775,8669 Rotherham Dr.,,Darlinghurst,New South Wales,Australia,18264,-33.87519522,151.2297255,00:00.0,19:43.8,06:04.0,12:52.7,19.96024284,4.386207815,5.724950941,3.952625529
222,18484,20070809,20070816,SO52278,4262 Monterey Ave.,,Darlinghurst,New South Wales,Australia,18484,-33.87486623,151.2155749,00:00.0,57:20.9,33:05.0,33:05.0,14.37798901,10.29054838,26.04127862,1.107759055
222,17048,20071121,20071128,SO58336,7065 Rock Creek Way,,Darlinghurst,New South Wales,Australia,17048,-33.87547465,151.2303195,00:00.0,49:58.3,44:23.0,01:41.2,19.82868483,7.009384056,0.69477016,4.498839683
222,15735,20080310,20080317,SO65886,6966 Eaker Way,,Darlinghurst,New South Wales,Australia,15735,-33.87398905,151.2194363,00:00.0,44:02.7,34:18.0,41:47.4,22.8263542,6.684747484,4.378688436,2.25019292
222,15238,20071213,20071220,SO59918,8983 Haynes Court,,Darlinghurst,New South Wales,Australia,15238,-33.88561228,151.2215093,00:00.0,22:08.5,38:47.0,38:47.0,17.56364387,10.17900487,23.58941894,5.376402882
222,12997,20080106,20080113,SO61542,5666 Hazelnut Lane,,Darlinghurst,New South Wales,Australia,12997,-33.86825217,151.2136617,00:00.0,45:26.6,12:16.0,47:18.6,15.4726441,3.06035599,3.865425281,6.296674088
222,13104,20080528,20080604,SO71544,5617 Landing Dr,,Darlinghurst,New South Wales,Australia,13104,-33.87586965,151.2132505,00:00.0,55:08.8,42:34.0,08:57.5,20.73012397,9.044307727,4.707686653,9.643843004
222,12038,20080113,20080120,SO61976,1314 Skyline Dr.,,Darlinghurst,New South Wales,Australia,12038,-33.88668823,151.218376,00:00.0,13:03.5,58:21.0,48:43.5,19.77044083,4.904580382,5.263174605,4.445058434
